2019-08-28 21:27:27,925:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 21:27:27,925:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt, to encoding: utf-8-sig
2019-08-28 21:49:04,316:FileProcessing:FindCode: UnicodeDecodeError utf-8-sig
2019-08-28 21:49:04,316:FileProcessing:FindCode: UnicodeDecodeError utf-8
2019-08-28 21:49:04,316:FileProcessing:Opening the file with encoding: windows-1250
2019-08-28 21:49:41,031:FileProcessing:FindCode: UnicodeDecodeError utf-8-sig
2019-08-28 21:49:41,047:FileProcessing:FindCode: UnicodeDecodeError utf-8
2019-08-28 21:49:41,047:FileProcessing:Opening the file with encoding: windows-1250
2019-08-28 21:49:44,265:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 21:49:44,265:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt, to encoding: utf-8-sig
2019-08-28 21:50:22,318:FileProcessing:FindCode: UnicodeDecodeError utf-8-sig
2019-08-28 21:50:22,318:FileProcessing:FindCode: UnicodeDecodeError utf-8
2019-08-28 21:50:22,334:FileProcessing:Opening the file with encoding: windows-1250
2019-08-28 21:50:24,271:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 21:50:24,271:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt, to encoding: utf-8-sig
2019-08-28 22:00:28,898:FileProcessing:FindCode: UnicodeDecodeError utf-8-sig
2019-08-28 22:00:28,898:FileProcessing:FindCode: UnicodeDecodeError utf-8
2019-08-28 22:00:28,898:FileProcessing:Opening the file with encoding: windows-1250
2019-08-28 22:00:32,203:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 22:00:32,203:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt_0.txt, to encoding: utf-8-sig
2019-08-28 22:00:32,203:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 22:00:32,203:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt_0.txt, to encoding: utf-8-sig
2019-08-28 22:00:32,203:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 22:00:32,203:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt_0.txt, to encoding: utf-8-sig
2019-08-28 22:00:32,231:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 22:00:32,231:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt_0.txt, to encoding: utf-8-sig
2019-08-28 22:00:32,259:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 22:00:32,259:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt_0.txt, to encoding: utf-8-sig
2019-08-28 22:00:32,259:FileProcessing:Specijalnih znakova u fajlu: [0]
2019-08-28 22:00:32,273:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 22:00:32,273:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt_0.txt, to encoding: utf-8-sig
2019-08-28 22:00:32,273:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 22:00:32,273:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt_0.txt, to encoding: utf-8-sig
2019-08-28 22:00:32,273:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 22:00:32,273:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt_0.txt, to encoding: utf-8-sig
2019-08-28 22:00:32,287:FileProcessing:Write to file, encoding: windows-1251
2019-08-28 22:00:32,287:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt, to encoding: windows-1251
2019-08-28 22:00:32,400:FileProcessing:Write to file, encoding: windows-1251
2019-08-28 22:00:32,400:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.srt, to encoding: windows-1251
2019-08-28 22:00:32,414:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 22:00:32,414:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt_0.txt, to encoding: utf-8-sig
2019-08-28 22:03:19,285:FileProcessing:FindCode: UnicodeDecodeError utf-8-sig
2019-08-28 22:03:19,285:FileProcessing:FindCode: UnicodeDecodeError utf-8
2019-08-28 22:03:19,285:FileProcessing:Opening the file with encoding: windows-1250
2019-08-28 22:03:21,194:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 22:03:21,194:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt_1.txt, to encoding: utf-8-sig
2019-08-28 22:03:21,194:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 22:03:21,194:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt_1.txt, to encoding: utf-8-sig
2019-08-28 22:03:21,194:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 22:03:21,194:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt_1.txt, to encoding: utf-8-sig
2019-08-28 22:03:21,225:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 22:03:21,225:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt_1.txt, to encoding: utf-8-sig
2019-08-28 22:03:21,256:FileProcessing:Write to file, encoding: utf-8-sig
2019-08-28 22:03:21,256:FileProcessing:Travelers.2016.S01E01.BDRip.X264-DEFLATE.cyr_utf8.txt_1.txt, to encoding: utf-8-sig
2019-08-28 22:03:21,272:FileProcessing:Specijalnih znakova u fajlu: [0]
